Arrivals (Tonnes),Modal Price (Rs./Quintal),Reported Date
50.1,2121,June 2024
106.6,2146,May 2024
1038.5,2300,April 2024
200,2200,March 2024
404.2,2300,February 2024
74.6,2200,January 2024
369.9,2110,December 2023
67,2100,November 2023
480.6,2200,October 2023
468.6,2060,September 2023
103,2250,August 2023
27.3,2146,July 2023
36.2,2020,June 2023
310.8,1909,May 2023
109.3,1790,April 2023
432.4,1800,March 2023
70,1870,February 2023
326.5,1780,January 2023
430.4,1612,December 2022
49.4,1609,November 2022
3.3,1720,October 2022
10.6,1700,September 2022
0.4,1600,August 2022
8.7,1660,July 2022
61.9,1580,June 2022
82.9,1450,May 2022
240.4,1480,April 2022
964.4,1592,March 2022
24,1550,February 2022
27.6,1500,January 2022
29.7,1435,December 2021
32.5,1485,November 2021
2,1400,October 2021
37.5,1470,September 2021
22.2,1413,August 2021
373.2,1390,July 2021
239.7,1352,June 2021
559.8,1270,May 2021
18.3,1410,April 2021
242.2,1535,March 2021
1,1500,February 2021
51.5,1405,January 2021
215.9,1600,December 2020
67.9,1405,November 2020
54.7,1420,October 2020
166.9,1510,September 2020
4.3,1700,August 2020
592,1520,July 2020
35.4,1440,June 2020
277.8,1350,May 2020
39.6,1545,April 2020
382.5,1500,March 2020
61,1520,February 2020
86.7,1510,January 2020
53.4,1515,December 2019
8.1,1500,November 2019
180.4,1485,October 2019
47.9,1530,September 2019
75.5,1550,August 2019
62.1,1505,July 2019
160,1440,June 2019
403.5,1390,May 2019
219.3,1495,April 2019
533.5,1550,March 2019
675.2,1575,February 2019
183.7,1611,January 2019
190,1530,December 2018
30.6,1516,November 2018
258.5,1500,October 2018
383.2,1510,September 2018
202.8,1487,August 2018
68.6,1510,July 2018
593.7,1455,June 2018
325.3,1509,May 2018
28.6,1610,April 2018
347.5,1487,March 2018
50.6,1500,February 2018
286.1,1583,January 2018
171.6,1497,December 2017
105.3,1415,November 2017
202.4,1450,October 2017
327.1,1530,September 2017
123,1460,August 2017
49.5,1460,July 2017
164.2,1500,June 2017
1438.3,1380,May 2017
89.3,1335,April 2017
179.6,1363,March 2017
292.4,1365,February 2017
523.5,1330,January 2017
273.1,1266,December 2016
1.5,1200,November 2016
34.3,1260,October 2016
79.7,1370,September 2016
71.5,1360,August 2016
31.9,1430,July 2016
51.9,1550,June 2016
267.7,1390,May 2016
25.3,1270,April 2016
314.7,1250,March 2016
534,1250,February 2016
93.5,1245,January 2016
159.1,1235,December 2015
160.6,1225,November 2015
82.8,1195,October 2015
129.1,1160,September 2015
26.8,1245,August 2015
295.6,1195,July 2015
67.2,1140,June 2015
219.4,1055,May 2015
0.3,1150,April 2015
1.8,1100,March 2015
73.6,1225,February 2015
225.1,1250,January 2015
270.7,1180,December 2014
267.1,1190,November 2014
27.5,1160,October 2014
106.2,1260,September 2014
0.7,1345,August 2014
125.2,1280,July 2014
173.1,1230,June 2014
392.2,1135,May 2014
66.7,1240,April 2014
115.9,1270,March 2014
50.4,1320,February 2014
60.2,1275,January 2014
2.5,1270,December 2013
144,1265,November 2013
90.5,1235,October 2013
100.9,1225,September 2013
160,1245,August 2013
98.7,1190,July 2013
228.2,1235,June 2013
326.6,1175,May 2013
129.6,1215,April 2013
59.6,1275,March 2013
130.2,1295,February 2013
136.6,1265,January 2013
213,1255,December 2012
178,1210,November 2012
109.4,1200,October 2012
79.7,1200,September 2012
132.9,1195,August 2012
144.8,1160,July 2012
254.2,1077,June 2012
172.7,935,May 2012
18.3,925,April 2012
34,1025,March 2012
37.6,1030,February 2012
69.3,1025,January 2012
138.3,1055,December 2011
102.4,1015,November 2011
55,1010,October 2011
135.3,1075,September 2011
96,894,August 2011
154.9,930,July 2011
185.7,830,June 2011
140.3,830,May 2011
41.4,960,April 2011
54.7,940,March 2011
87.9,970,February 2011
94.5,960,January 2011
165.4,950,December 2010
144.9,930,November 2010
82.4,921,October 2010
79.1,935,September 2010
94,950,August 2010
31.7,995,July 2010
131.9,1020,June 2010
52.6,890,May 2010
41.9,980,April 2010
46.8,970,March 2010
266.2,940,February 2010
32.5,880,January 2010
